#,Couple,Dance,Song,Date,Series,Week,Order,Craig,Arlene,Darcey,Len,Alesha,Shirley,Guest,Motsi,Bruno,Total,Type
470,Christine & Matthew,Jive,Jailhouse Rock,"Series 6, Week 08",6,8,6,7,8,-,8,-,-,-,-,8,31,Latin
471,Rachel & Vincent,American Smooth,I've Got A Woman,"Series 6, Week 08",6,8,7,8,9,-,9,-,-,-,-,9,35,Speciality
472,John & Kristina,Cha cha cha,Twist and Shout,"Series 6, Week 08",6,8,8,1,3,-,4,-,-,-,-,4,12,Latin
473,Lisa & Brendan,Viennese Waltz,Bed of Roses,"Series 6, Week 08",6,8,9,9,9,-,9,-,-,-,-,9,36,Ballroom
474,Jodie & Ian,Quickstep,Mr. Pinstripe Suit,"Series 6, Week 09",6,9,1,7,8,-,9,-,-,-,-,9,33,Ballroom
475,Lisa & Brendan,Samba,Rock The Boat,"Series 6, Week 09",6,9,2,6,7,-,9,-,-,-,-,8,30,Latin
476,Christine & Matthew,Waltz,See The Day,"Series 6, Week 09",6,9,3,8,8,-,9,-,-,-,-,9,34,Ballroom
477,Cherie & James,Cha cha cha,Play That Funky Music,"Series 6, Week 09",6,9,4,7,8,-,8,-,-,-,-,9,32,Latin
478,Austin & Erin,Tango,Libertango,"Series 6, Week 09",6,9,5,9,9,-,10,-,-,-,-,10,38,Ballroom
479,Rachel & Vincent,Rumba,You Do Something To Me,"Series 6, Week 09",6,9,6,9,10,-,10,-,-,-,-,10,39,Latin
480,John & Kristina,American Smooth,True Love Ways,"Series 6, Week 09",6,9,7,5,6,-,7,-,-,-,-,7,25,Speciality
481,Tom & Camilla,Salsa,Pa Goza Con Fruko,"Series 6, Week 09",6,9,8,8,9,-,9,-,-,-,-,9,35,Speciality
482,Lisa & Brendan,Quickstep,Yes,"Series 6, Week 10",6,10,1,8,9,-,9,-,-,-,-,9,35,Ballroom
483,Christine & Matthew,Cha cha cha,I Like It Like That,"Series 6, Week 10",6,10,2,6,6,-,8,-,-,-,-,7,27,Latin
484,Jodie & Ian,Jive,Great Balls Of Fire,"Series 6, Week 10",6,10,3,7,7,-,8,-,-,-,-,8,30,Latin
485,Tom & Camilla,Tango,Please Mr Brown,"Series 6, Week 10",6,10,4,9,9,-,9,-,-,-,-,9,36,Ballroom
486,Rachel & Vincent,Foxtrot,Close To You,"Series 6, Week 10",6,10,5,10,10,-,10,-,-,-,-,10,40,Ballroom
487,Austin & Erin,Cha cha cha,It's Raining Men,"Series 6, Week 10",6,10,6,8,9,-,9,-,-,-,-,9,35,Latin
488,Rachel & Vincent,Waltz,Angel,"Series 6, Week 11",6,11,1,9,10,-,10,-,-,-,-,10,39,Ballroom
489,Lisa & Brendan,Foxtrot,Walking My Baby Back Home,"Series 6, Week 11",6,11,2,9,10,-,10,-,-,-,-,10,39,Ballroom
490,Christine & Matthew,Tango,Addicted To Love,"Series 6, Week 11",6,11,3,6,7,-,8,-,-,-,-,7,28,Ballroom
491,Austin & Erin,Foxtrot,L-O-V-E,"Series 6, Week 11",6,11,4,8,9,-,9,-,-,-,-,10,36,Ballroom
492,Tom & Camilla,Waltz,Moon River,"Series 6, Week 11",6,11,5,7,9,-,10,-,-,-,-,9,35,Ballroom
493,Rachel & Vincent,Paso doble,The Final Countdown,"Series 6, Week 11",6,11,6,7,8,-,8,-,-,-,-,9,32,Latin
494,Lisa & Brendan,Cha cha cha,Tears Dry On Their Own,"Series 6, Week 11",6,11,7,9,9,-,9,-,-,-,-,10,37,Latin
495,Christine & Matthew,Salsa,Cosmic Girl,"Series 6, Week 11",6,11,8,7,7,-,8,-,-,-,-,8,30,Speciality
496,Austin & Erin,Paso doble,Espana Cani,"Series 6, Week 11",6,11,9,10,10,-,8,-,-,-,-,10,38,Latin
497,Tom & Camilla,Samba,Mr Melody,"Series 6, Week 11",6,11,10,8,9,-,9,-,-,-,-,9,35,Latin
498,Austin & Erin,American Smooth,The Best Is Yet To Come,"Series 6, Week 12",6,12,1,8,8,-,9,-,-,-,-,9,34,Speciality
499,Lisa & Brendan,Waltz,He Is Beautiful,"Series 6, Week 12",6,12,2,9,10,-,10,-,-,-,-,10,39,Ballroom
500,Tom & Camilla,Foxtrot,Here You Come Again,"Series 6, Week 12",6,12,3,9,10,-,10,-,-,-,-,10,39,Ballroom
501,Rachel & Vincent,Tango,Here Comes The Rain Again,"Series 6, Week 12",6,12,4,9,10,-,10,-,-,-,-,10,39,Ballroom
502,Austin & Erin,Salsa,Johnny's Mambo,"Series 6, Week 12",6,12,5,8,9,-,10,-,-,-,-,9,36,Speciality
503,Lisa & Brendan,Jive,Crocodile Rock,"Series 6, Week 12",6,12,6,8,8,-,8,-,-,-,-,9,33,Latin
504,Tom & Camilla,Rumba,You Needed Me,"Series 6, Week 12",6,12,7,9,9,-,8,-,-,-,-,8,34,Latin
505,Rachel & Vincent,Cha cha cha,"Signed, Sealed, Delivered","Series 6, Week 12",6,12,8,9,9,-,9,-,-,-,-,10,37,Latin
506,Lisa & Brendan,Argentine Tango,Infiltrado,"Series 6, Week 13",6,13,1,8,8,-,10,-,-,-,-,9,35,Speciality
507,Tom & Camilla,Jive,Waterloo,"Series 6, Week 13",6,13,2,8,8,-,9,-,-,-,-,8,33,Latin
508,Rachel & Vincent,Argentine Tango,When Doves Cry,"Series 6, Week 13",6,13,3,9,10,-,10,-,-,-,-,10,39,Speciality
509,Lisa & Brendan,Quickstep,Dancing In The Dark,"Series 6, Week 13",6,13,4,10,10,-,10,-,-,-,-,10,40,Ballroom
510,Tom & Camilla,Argentine Tango,Por una cabeza,"Series 6, Week 13",6,13,5,8,8,-,9,-,-,-,-,9,34,Speciality
511,Rachel & Vincent,American Smooth,Mandy,"Series 6, Week 13",6,13,6,9,9,-,8,-,-,-,-,10,36,Speciality
512,Rachel & Vincent,Foxtrot,Close To You,"Series 6, Week 14",6,14,1,10,10,-,10,-,-,-,-,10,40,Ballroom
513,Tom & Camilla,Foxtrot,Here You Come Again,"Series 6, Week 14",6,14,2,8,9,-,9,-,-,-,-,9,35,Ballroom
514,Lisa & Brendan,Foxtrot,Walking My Baby Back Home,"Series 6, Week 14",6,14,3,10,10,-,10,-,-,-,-,10,40,Ballroom
515,Rachel & Vincent,Rumba,You Do Something To Me,"Series 6, Week 14",6,14,4,9,10,-,10,-,-,-,-,10,39,Latin
516,Tom & Camilla,Salsa,Pa Goza Con Fruko,"Series 6, Week 14",6,14,5,9,10,-,10,-,-,-,-,9,38,Speciality
517,Lisa & Brendan,Cha cha cha,Tears Dry On Their Own,"Series 6, Week 14",6,14,6,10,10,-,10,-,-,-,-,10,40,Latin
,Lisa & Brendan,Show dance,I Would Do Anything For Love (But I Won't Do That),"Series 6, Week 14",6,14,7,-,-,-,-,-,-,-,-,-,-,Speciality
,Rachel & Vincent,Show dance,Flashdance...What a Feeling,"Series 6, Week 14",6,14,8,-,-,-,-,-,-,-,-,-,-,Speciality
,Tom & Camilla,Show dance,If My Friends Could See Me Now,"Series 6, Week 14",6,14,9,-,-,-,-,-,-,-,-,-,-,Speciality
518,Rav & Aliona,Tango,Baby Did A Bad Bad Thing,"Series 7, Week 01",7,1,1,3,-,-,6,5,-,-,-,5,19,Ballroom
519,Jade & Ian,Cha cha cha,Ain't No Other Man,"Series 7, Week 01",7,1,1,6,-,-,7,7,-,-,-,7,27,Latin
520,Ricky & Erin,Waltz,What'll I Do,"Series 7, Week 01",7,1,2,4,-,-,6,6,-,-,-,5,21,Ballroom
521,Ali & Brian,Rumba,That's What Friends Are For,"Series 7, Week 01",7,1,2,7,-,-,7,8,-,-,-,8,30,Latin
522,Chris & Ola,Tango,Sharp Dressed Man,"Series 7, Week 01",7,1,3,6,-,-,7,7,-,-,-,6,26,Ballroom
523,Lynda & Darren,Cha cha cha,Don't Go Breaking My Heart,"Series 7, Week 01",7,1,3,5,-,-,6,6,-,-,-,6,23,Latin
524,Jade & Ian,Waltz,Weekend In New England,"Series 7, Week 01",7,1,4,6,-,-,7,6,-,-,-,6,25,Ballroom
525,Rav & Aliona,Rumba,Temptation,"Series 7, Week 01",7,1,4,4,-,-,6,5,-,-,-,7,22,Latin
526,Martina & Matthew,Waltz,Jesse,"Series 7, Week 01",7,1,5,4,-,-,6,6,-,-,-,6,22,Ballroom
527,Chris & Ola,Rumba,Don't Know Much,"Series 7, Week 01",7,1,5,7,-,-,8,7,-,-,-,8,30,Latin
528,Lynda & Darren,Tango,Under Pressure,"Series 7, Week 01",7,1,6,3,-,-,6,7,-,-,-,5,21,Ballroom
529,Joe & Kristina,Cha cha cha,Chain of Fools,"Series 7, Week 01",7,1,6,2,-,-,5,5,-,-,-,4,16,Latin
530,Ali & Brian,Waltz,Reach Out And Touch,"Series 7, Week 01",7,1,7,7,-,-,8,8,-,-,-,7,30,Ballroom
531,Martina & Matthew,Rumba,Alone,"Series 7, Week 01",7,1,7,5,-,-,6,7,-,-,-,6,24,Latin
532,Joe & Kristina,Tango,Cite Tango,"Series 7, Week 01",7,1,8,2,-,-,5,5,-,-,-,4,16,Ballroom
533,Ricky & Erin,Cha cha cha,Jump,"Series 7, Week 01",7,1,8,6,-,-,7,7,-,-,-,6,26,Latin
534,Natalie & Vincent,Tango,Spider Of The Night,"Series 7, Week 02",7,2,1,6,-,-,6,6,-,-,-,6,24,Ballroom
535,Phil & Katya,Cha cha cha,Daddy,"Series 7, Week 02",7,2,1,4,-,-,6,6,-,-,-,6,22,Latin
536,Zoe & James,Waltz,Some Day My Prince Will Come,"Series 7, Week 02",7,2,2,7,-,-,8,7,-,-,-,8,30,Ballroom
537,Craig & Flavia,Rumba,Will You Still Love Me Tomorrow,"Series 7, Week 02",7,2,2,5,-,-,6,5,-,-,-,6,22,Latin
538,Craig & Flavia,Tango,Jai Ho,"Series 7, Week 02",7,2,3,5,-,-,6,5,-,-,-,6,22,Ballroom
539,Laila & Anton,Cha cha cha,Sway,"Series 7, Week 02",7,2,3,6,-,-,7,6,-,-,-,6,25,Latin
540,Richard & Lilia,Waltz,Truly,"Series 7, Week 02",7,2,4,4,-,-,5,5,-,-,-,5,19,Ballroom
541,Zoe & James,Rumba,Out Of Reach,"Series 7, Week 02",7,2,4,8,-,-,7,8,-,-,-,8,31,Latin
542,Laila & Anton,Tango,El Chocio,"Series 7, Week 02",7,2,5,7,-,-,8,7,-,-,-,8,30,Ballroom
543,Jo & Brendan,Rumba,Fallen ,"Series 7, Week 02",7,2,5,3,-,-,5,5,-,-,-,5,18,Latin
544,Phil & Katya,Waltz,Sam,"Series 7, Week 02",7,2,6,7,-,-,8,7,-,-,-,7,29,Ballroom
545,Richard & Lilia,Cha cha cha,I'm Your Man,"Series 7, Week 02",7,2,6,4,-,-,5,5,-,-,-,5,19,Latin
546,Jo & Brendan,Tango,Let's Dance,"Series 7, Week 02",7,2,7,3,-,-,5,5,-,-,-,5,18,Ballroom
547,Ricky & Natalie,Rumba,Stepping Stone,"Series 7, Week 02",7,2,7,8,-,-,8,8,-,-,-,8,32,Latin
548,Ricky & Natalie,Waltz,It Is You (I Have Loved),"Series 7, Week 02",7,2,8,8,-,-,9,8,-,-,-,8,33,Ballroom
549,Natalie & Vincent,Cha cha cha,Bang Bang,"Series 7, Week 02",7,2,8,6,-,-,7,7,-,-,-,6,26,Latin
550,Ali & Brian,Quickstep,I Get A Kick Out Of You,"Series 7, Week 03",7,3,1,8,-,-,8,8,-,-,-,8,32,Ballroom
551,Lynda & Darren,Paso doble,Devil Woman,"Series 7, Week 03",7,3,2,5,-,-,7,7,-,-,-,6,25,Latin
552,Chris & Ola,Quickstep,Dancin' Fool,"Series 7, Week 03",7,3,3,5,-,-,6,6,-,-,-,6,23,Ballroom
553,Zoe & James,Paso doble,You've Got The Love,"Series 7, Week 03",7,3,4,7,-,-,8,8,-,-,-,8,31,Latin
554,Rav & Aliona,Quickstep,We Go Together,"Series 7, Week 03",7,3,5,3,-,-,6,5,-,-,-,6,20,Ballroom
555,Natalie & Vincent,Paso doble,Malaguena,"Series 7, Week 03",7,3,6,6,-,-,7,8,-,-,-,7,28,Latin
556,Craig & Flavia,Quickstep,Peroxide Swing,"Series 7, Week 03",7,3,7,4,-,-,6,6,-,-,-,5,21,Ballroom
557,Ricky & Natalie,Paso doble,Spanish Gypsy Dance,"Series 7, Week 03",7,3,8,8,-,-,9,9,-,-,-,9,35,Latin
558,Jade & Ian,Quickstep,Fascination,"Series 7, Week 03",7,3,9,7,-,-,8,8,-,-,-,8,31,Ballroom
559,Joe & Kristina,Paso doble,Livin' On A Prayer,"Series 7, Week 03",7,3,10,3,-,-,5,6,-,-,-,5,19,Latin
560,Laila & Anton,Quickstep,Strike Up The Band,"Series 7, Week 03",7,3,11,8,-,-,8,7,-,-,-,7,30,Ballroom
561,Jo & Brendan,Paso doble,Because The Night,"Series 7, Week 03",7,3,12,3,-,-,6,6,-,-,-,5,20,Latin
562,Phil & Katya,Quickstep,Put On A Happy Face,"Series 7, Week 03",7,3,13,5,-,-,6,6,-,-,-,7,24,Ballroom
563,Ricky & Erin,Paso doble,One Vision,"Series 7, Week 03",7,3,14,7,-,-,7,8,-,-,-,7,29,Latin
564,Zoe & James,Foxtrot,This Will Be (An Everlasting Love),"Series 7, Week 04",7,4,1,8,-,-,9,8,-,-,-,8,33,Ballroom
565,Chris & Ola,Salsa,Micaela,"Series 7, Week 04",7,4,2,5,-,-,6,7,-,-,-,7,25,Speciality
566,Lynda & Darren,Foxtrot,Calendar Girl,"Series 7, Week 04",7,4,3,5,-,-,7,6,-,-,-,6,24,Ballroom
567,Ali & Brian,Salsa,Quimbara,"Series 7, Week 04",7,4,4,8,-,-,8,8,-,-,-,8,32,Speciality
568,Jo & Brendan,Foxtrot,Crazy,"Series 7, Week 04",7,4,5,4,-,-,6,5,-,-,-,5,20,Ballroom
569,Natalie & Vincent,Salsa,You'll Be Mine (Party Time),"Series 7, Week 04",7,4,6,7,-,-,8,7,-,-,-,7,29,Speciality
570,Joe & Kristina,Foxtrot,Feeling Good,"Series 7, Week 04",7,4,7,3,-,-,6,6,-,-,-,5,20,Ballroom
571,Laila & Anton,Foxtrot,Just In Time,"Series 7, Week 04",7,4,8,8,-,-,9,9,-,-,-,8,34,Ballroom
572,Ricky & Natalie,Salsa,Dancing Machine,"Series 7, Week 04",7,4,9,8,-,-,8,8,-,-,-,8,32,Speciality
573,Craig & Flavia,Foxtrot,Sometimes When We Touch,"Series 7, Week 04",7,4,10,5,-,-,7,6,-,-,-,6,24,Ballroom
574,Jade & Ian,Salsa,La Isla Bonita,"Series 7, Week 04",7,4,11,7,-,-,7,8,-,-,-,7,29,Speciality
575,Ricky & Erin,Foxtrot,All Of Me,"Series 7, Week 04",7,4,12,6,-,-,8,7,-,-,-,7,28,Ballroom
576,Phil & Katya,Salsa,Long Train Running,"Series 7, Week 04",7,4,13,4,-,-,7,6,-,-,-,7,24,Speciality
577,Ricky & Erin,Jive,Boy From New York City,"Series 7, Week 05",7,5,1,6,-,-,7,7,-,-,-,5,25,Latin
578,Jade & Ian,Viennese Waltz,This Is A Man's World,"Series 7, Week 05",7,5,2,8,-,-,9,9,-,-,-,9,35,Ballroom
579,Ali & Brian,Jive,Tutti Fruiti,"Series 7, Week 05",7,5,3,6,-,-,7,8,-,-,-,8,29,Latin
580,Jo & Brendan,Viennese Waltz,Trouble,"Series 7, Week 05",7,5,4,5,-,-,7,6,-,-,-,5,23,Ballroom
581,Zoe & James,Jive,Tainted Love,"Series 7, Week 05",7,5,5,7,-,-,8,8,-,-,-,7,30,Latin
582,Ricky & Natalie,Viennese Waltz,How Can I Be Sure?,"Series 7, Week 05",7,5,6,8,-,-,9,10,-,-,-,9,36,Ballroom
583,Craig & Flavia,Jive,It Takes Two,"Series 7, Week 05",7,5,7,4,-,-,6,5,-,-,-,5,20,Latin
584,Joe & Kristina,Jive,Rock This Town,"Series 7, Week 05",7,5,8,4,-,-,6,6,-,-,-,5,21,Latin
585,Natalie & Vincent,Viennese Waltz,At Last,"Series 7, Week 05",7,5,9,7,-,-,7,7,-,-,-,6,27,Ballroom
586,Laila & Anton,Jive,Modern Love,"Series 7, Week 05",7,5,10,5,-,-,7,5,-,-,-,5,22,Latin
587,Phil & Katya,Viennese Waltz,Mad About The Boy,"Series 7, Week 05",7,5,11,6,-,-,7,7,-,-,-,7,27,Ballroom
588,Chris & Ola,Jive,Roll Over Beethoven,"Series 7, Week 05",7,5,12,5,-,-,6,6,-,-,-,5,22,Latin
589,Jade & Ian,Samba,Independent Woman,"Series 7, Week 06",7,6,1,8,-,-,8,8,-,-,-,8,32,Latin
590,Chris & Ola,American Smooth,Jimmy Mack,"Series 7, Week 06",7,6,2,7,-,-,7,7,-,-,-,7,28,Speciality
591,Phil & Katya,Samba,Daddy Cool,"Series 7, Week 06",7,6,3,6,-,-,7,6,-,-,-,6,25,Latin
592,Zoe & James,American Smooth,My Girl,"Series 7, Week 06",7,6,4,8,-,-,8,9,-,-,-,8,33,Speciality
593,Craig & Flavia,Samba,Give It Up,"Series 7, Week 06",7,6,5,3,-,-,6,4,-,-,-,5,18,Latin
594,Ricky & Erin,American Smooth,Chim-Chim-Cheree,"Series 7, Week 06",7,6,6,7,-,-,8,7,-,-,-,7,29,Speciality
595,Ricky & Natalie,Samba,Good Lovin',"Series 7, Week 06",7,6,7,8,-,-,8,8,-,-,-,8,32,Latin
596,Natalie & Vincent,American Smooth,Please Don't Talk About Me When I'm Gone,"Series 7, Week 06",7,6,8,7,-,-,8,7,-,-,-,7,29,Speciality
597,Jo & Brendan,Samba,Superstition,"Series 7, Week 06",7,6,9,2,-,-,5,3,-,-,-,4,14,Latin
598,Ali & Brian,American Smooth,A Foggy Day In London Town,"Series 7, Week 06",7,6,10,9,-,-,9,9,-,-,-,10,37,Speciality
599,Laila & Anton,Samba,He's The Greatest Dancer,"Series 7, Week 06",7,6,11,7,-,-,7,7,-,-,-,7,28,Latin
600,Natalie & Vincent,Jive,"Good Golly, Miss Molly","Series 7, Week 07",7,7,1,7,-,-,8,7,-,-,-,8,30,Latin
601,Ali & Brian,Paso doble,El Gato Montes,"Series 7, Week 07",7,7,2,8,-,-,9,8,-,-,-,8,33,Latin
602,Craig & Flavia,Waltz,Don't Let The Sun Go Down On Me,"Series 7, Week 07",7,7,3,5,-,-,7,7,-,-,-,5,24,Ballroom
603,Chris & Ola,Cha cha cha,Shake Your Groove Thing,"Series 7, Week 07",7,7,4,7,-,-,8,7,-,-,-,7,29,Latin
604,Jade & Ian,Foxtrot,Recipe For Love,"Series 7, Week 07",7,7,5,8,-,-,9,9,-,-,-,9,35,Ballroom
605,Zoe & James,Samba,Boogie Nights,"Series 7, Week 07",7,7,6,7,-,-,8,9,-,-,-,8,32,Latin
606,Ricky & Erin,Rumba,License To Kill,"Series 7, Week 07",7,7,7,4,-,-,8,7,-,-,-,5,24,Latin
607,Laila & Anton,Viennese Waltz,Once Around The Block,"Series 7, Week 07",7,7,8,8,-,-,9,8,-,-,-,8,33,Ballroom
608,Phil & Katya,Tango,Back To Black,"Series 7, Week 07",7,7,9,7,-,-,7,8,-,-,-,8,30,Ballroom
609,Ricky & Natalie,Quickstep,Down With Love,"Series 7, Week 07",7,7,10,9,-,-,10,10,-,-,-,10,39,Ballroom
610,Ricky & Natalie,Tango,You Really Got Me,"Series 7, Week 08",7,8,1,8,-,-,9,9,-,-,-,9,35,Ballroom
611,Natalie & Vincent,Quickstep,Tu Vuo' Fa' L'Americano,"Series 7, Week 08",7,8,2,7,-,-,8,8,-,-,-,8,31,Ballroom
612,Jade & Ian,Jive,"Flip, Flop And Fly","Series 7, Week 08",7,8,3,8,-,-,8,9,-,-,-,8,33,Latin
613,Ali & Brian,Viennese Waltz,"Do Right Woman, Do Right","Series 7, Week 08",7,8,4,10,-,-,10,10,-,-,-,10,40,Ballroom
614,Ricky & Erin,Salsa,Acuyuye,"Series 7, Week 08",7,8,5,6,-,-,7,6,-,-,-,6,25,Speciality
615,Laila & Anton,Paso doble,Layla,"Series 7, Week 08",7,8,6,7,-,-,7,8,-,-,-,8,30,Latin
616,Phil & Katya,Rumba,Maybe I'm Amazed,"Series 7, Week 08",7,8,7,6,-,-,8,7,-,-,-,7,28,Latin
617,Chris & Ola,Foxtrot,I Could Have Danced All Night,"Series 7, Week 08",7,8,8,8,-,-,9,9,-,-,-,8,34,Ballroom
618,Craig & Flavia,Cha cha cha,Easy Lover,"Series 7, Week 08",7,8,9,3,-,-,5,4,-,-,-,5,17,Latin
619,Phil & Katya,American Smooth,Come Fly With Me,"Series 7, Week 09",7,9,1,7,-,-,8,8,-,-,-,8,31,Speciality
620,Ricky & Natalie,Jive,Rip It Up,"Series 7, Week 09",7,9,2,8,-,-,9,9,-,-,-,9,35,Latin
621,Ricky & Erin,Viennese waltz,Nights In White Satin,"Series 7, Week 09",7,9,3,7,-,-,8,7,-,-,-,7,29,Ballroom
622,Chris & Ola,Paso doble,I Believe In A Thing Called Love,"Series 7, Week 09",7,9,4,6,-,-,8,9,-,-,-,7,30,Latin
623,Laila & Anton,Rumba,Rule The World,"Series 7, Week 09",7,9,5,3,-,-,7,6,-,-,-,6,22,Latin
624,Natalie & Vincent,Foxtrot,Magic Moments,"Series 7, Week 09",7,9,6,8,-,-,9,9,-,-,-,8,34,Ballroom
625,Ali & Brian,Cha cha cha,I Gotta Feeling,"Series 7, Week 09",7,9,7,9,-,-,8,9,-,-,-,9,35,Latin
626,Ali & Brian,Foxtrot,Haven't Met You Yet,"Series 7, Week 10",7,10,1,8,-,-,9,9,-,-,-,9,35,Ballroom
627,Natalie & Vincent,Samba,Holiday,"Series 7, Week 10",7,10,2,6,-,-,7,8,-,-,-,5,26,Latin
628,Chris & Ola,Viennese waltz,A New Day Has Come,"Series 7, Week 10",7,10,3,7,-,-,8,7,-,-,-,7,29,Ballroom
629,Ricky & Natalie,American Smooth,Over The Rainbow,"Series 7, Week 10",7,10,4,9,-,-,8,10,-,-,-,9,36,Speciality
630,Laila & Anton,Waltz,Fascination,"Series 7, Week 10",7,10,5,6,-,-,8,7,-,-,-,8,29,Ballroom
631,Ricky & Erin,Tango,U Got The Look,"Series 7, Week 10",7,10,6,5,-,-,6,6,-,-,-,5,22,Ballroom
632,Chris & Ola,Charleston,Fat Sam's Grand Slam,"Series 7, Week 11",7,11,1,8,-,-,8,9,-,-,-,9,34,Speciality
633,Ricky & Natalie,Rock'n'Roll,Hound Dog,"Series 7, Week 11",7,11,2,7,-,-,8,8,-,-,-,8,31,Speciality
634,Ali & Brian,Charleston,Pencil Full of Lead,"Series 7, Week 11",7,11,3,9,-,-,9,10,-,-,-,9,37,Speciality
635,Natalie & Vincent,Rock'n'Roll,Long Tall Sally,"Series 7, Week 11",7,11,4,5,-,-,7,7,-,-,-,7,26,Speciality
636,Laila & Anton,Charleston,"Yes Sir, That’s My Baby","Series 7, Week 11",7,11,5,6,-,-,9,8,-,-,-,8,31,Speciality
637,Ali & Brian,Tango,Born To Be Wild,"Series 7, Week 12",7,12,1,8,-,9,8,9,-,-,-,8,42,Ballroom
638,Laila & Anton,American Smooth,My Kind Of Girl,"Series 7, Week 12",7,12,2,6,-,6,7,7,-,-,-,7,33,Speciality
639,Chris & Ola,Waltz,At This Moment,"Series 7, Week 12",7,12,3,8,-,8,8,9,-,-,-,8,41,Ballroom
640,Ricky & Natalie,Foxtrot,Too Marvellous For Words,"Series 7, Week 12",7,12,4,9,-,9,10,10,-,-,-,10,48,Ballroom
641,Ali & Brian,Samba,Change,"Series 7, Week 12",7,12,5,9,-,9,8,9,-,-,-,9,44,Latin
642,Laila & Anton,Salsa,Cogele el Gusto,"Series 7, Week 12",7,12,6,5,-,5,6,5,-,-,-,5,26,Speciality
643,Chris & Ola,Samba,Cuba,"Series 7, Week 12",7,12,7,8,-,8,8,8,-,-,-,7,39,Latin
644,Ricky & Natalie,Cha cha cha,Sunshine Of Your Love,"Series 7, Week 12",7,12,8,9,-,10,9,10,-,-,-,9,47,Latin
645,Chris & Ola,Rumba,Total Eclipse of the Heart,"Series 7, Week 13",7,13,1,7,-,7,8,8,-,-,-,8,38,Latin
646,Ali & Brian,Argentine Tango,Pa Bailar,"Series 7, Week 13",7,13,2,8,-,8,9,8,-,-,-,9,42,Speciality
647,Ricky & Natalie,Waltz,Kissing You,"Series 7, Week 13",7,13,3,9,-,9,10,9,-,-,-,10,47,Ballroom
648,Chris & Ola,Argentine Tango,Bust Your Windows,"Series 7, Week 13",7,13,4,8,-,8,9,9,-,-,-,8,42,Speciality
649,Ali & Brian,American Smooth,Come Dance With Me,"Series 7, Week 13",7,13,5,10,-,10,10,10,-,-,-,10,50,Speciality
650,Ricky & Natalie,Argentine Tango,Verano Porteno,"Series 7, Week 13",7,13,6,9,-,10,10,10,-,-,-,10,49,Speciality
651,Ricky & Natalie,Quickstep,Down With Love,"Series 7, Week 14",7,14,1,10,-,10,10,10,-,-,-,10,50,Ballroom
652,Chris & Ola,Foxtrot,I Could Have Danced All Night,"Series 7, Week 14",7,14,2,9,-,9,9,10,-,-,-,9,46,Ballroom
653,Ricky & Natalie,Lindy Hop,"Sing, Sing, Sing","Series 7, Week 14",7,14,3,8,-,8,9,9,-,-,-,9,43,Speciality
654,Chris & Ola,Lindy Hop,"Sing, Sing, Sing","Series 7, Week 14",7,14,4,8,-,9,9,9,-,-,-,9,44,Speciality
655,Chris & Ola,Charleston,Fat Sam's Grand Slam,"Series 7, Week 14",7,14,5,10,-,10,10,10,-,-,-,10,50,Speciality
656,Ricky & Natalie,Cha cha cha,Sunshine Of Your Love,"Series 7, Week 14",7,14,6,9,-,10,9,10,-,-,-,10,48,Latin
657,Chris & Ola,Show dance,Do You Love Me?,"Series 7, Week 14",7,14,7,9,-,9,9,10,-,-,-,9,46,Speciality
658,Ricky & Natalie,Show dance,Last Dance,"Series 7, Week 14",7,14,8,10,-,9,10,10,-,-,-,10,49,Speciality
659,Felicity & Vincent,Cha cha cha,Sunny,"Series 8, Week 01",8,1,1,4,-,-,5,7,-,-,-,7,23,Latin
660,Scott & Natalie,Waltz,I Never Loved A Man,"Series 8, Week 01",8,1,2,6,-,-,7,8,-,-,-,8,29,Ballroom
661,Goldie & Kristina,Cha cha cha,Tick Tock,"Series 8, Week 01",8,1,3,3,-,-,6,6,-,-,-,5,20,Latin
662,Patsy & Robin,Waltz,When I Need You,"Series 8, Week 01",8,1,4,4,-,-,6,6,-,-,-,6,22,Ballroom
663,Matt & Aliona,Cha cha cha,Ain't No Mountain High Enough,"Series 8, Week 01",8,1,5,7,-,-,8,8,-,-,-,8,31,Latin
664,Pamela & James,Waltz,If I Ain't Got You,"Series 8, Week 01",8,1,6,7,-,-,8,8,-,-,-,8,31,Ballroom
665,Paul & Ola,Cha cha cha,Could It Be Magic,"Series 8, Week 01",8,1,7,2,-,-,5,5,-,-,-,4,16,Latin
666,Jimi & Flavia,Cha cha cha,Don't Upset The Rhythm (Go Baby Go),"Series 8, Week 01",8,1,8,6,-,-,7,6,-,-,-,7,26,Latin
667,Peter & Erin,Waltz,Take It To The Limit,"Series 8, Week 01",8,1,9,4,-,-,6,6,-,-,-,5,21,Ballroom
668,Michelle & Brendan,Cha cha cha,Stone Cold Sober,"Series 8, Week 01",8,1,10,5,-,-,6,7,-,-,-,6,24,Latin
669,Gavin & Katya,Waltz,You Light Up My Life,"Series 8, Week 01",8,1,11,6,-,-,8,7,-,-,-,7,28,Ballroom
670,Tina & Jared,Cha cha cha,California Gurls,"Series 8, Week 01",8,1,12,5,-,-,7,6,-,-,-,6,24,Latin
671,Ann & Anton,Waltz,My Cherie,"Series 8, Week 01",8,1,13,2,-,-,5,5,-,-,-,5,17,Ballroom
672,Kara & Artem,Cha cha cha,I Like It,"Series 8, Week 01",8,1,14,7,-,-,8,8,-,-,-,7,30,Latin
